AIC,Params,Seasonal_Params,Model
1568.3455003325394,"(2, 1, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90913289d0>
1568.3455003325394,"(2, 1, 0)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083857a00>
1569.4391805342298,"(2, 2, 0)","(3, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f42512040>
1569.4424110667394,"(2, 2, 0)","(4, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e921f6ac0>
1569.6295011689708,"(1, 1, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f904086c5e0>
1569.6295011689708,"(1, 1, 0)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9070932b50>
1570.182163396915,"(0, 1, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90911e5550>
1570.182163396915,"(0, 1, 0)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90408120a0>
1571.4412280357208,"(2, 2, 0)","(4, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e9a0d2c70>
1574.542130600408,"(4, 2, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f906047d370>
1574.542130600408,"(4, 2, 0)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f906049a8e0>
1581.1237323143823,"(2, 0, 0)","(0, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9050995f10>
1581.6272520405719,"(1, 0, 0)","(0, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90838e5250>
1591.5093177008505,"(3, 0, 4)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90409c1880>
1591.5093177008505,"(3, 0, 4)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90409ccb50>
1592.503367639345,"(4, 0, 4)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083aaa9a0>
1592.503367639345,"(4, 0, 4)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083aaa190>
1592.570863329642,"(1, 0, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f907091b2b0>
1592.570863329642,"(1, 0, 2)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90408d9400>
1593.1203930235506,"(2, 0, 1)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90508790d0>
1593.1203930235506,"(2, 0, 1)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90912ec0d0>
1593.4038409064585,"(1, 0, 1)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f904084ec40>
1593.4038409064585,"(1, 0, 1)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f904084ef10>
1593.9935032379285,"(3, 0, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9040989af0>
1593.9935032379285,"(3, 0, 0)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90508cfc10>
1594.6617491292593,"(2, 0, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90838160d0>
1594.6617491292593,"(2, 0, 2)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9091282d00>
1594.9573922357633,"(1, 0, 3)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90408f54c0>
1594.9573922357633,"(1, 0, 3)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90408f5760>
1595.0499964259773,"(2, 0, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9050879a30>
1595.0499964259773,"(2, 0, 0)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f905085b9a0>
1595.3269504895861,"(1, 0, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f904088a5b0>
1595.3269504895861,"(1, 0, 0)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90408a8a00>
1595.3799363747314,"(4, 0, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90913e3ca0>
1595.3799363747314,"(4, 0, 0)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90913de0d0>
1595.9673611675607,"(3, 0, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90508ede80>
1595.9673611675607,"(3, 0, 2)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90508cfd00>
1596.3237807005955,"(2, 0, 3)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083833670>
1596.3237807005955,"(2, 0, 3)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90912f0fd0>
1766.208593826667,"(0, 0, 1)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9091234f10>
1769.3453591063628,"(0, 0, 2)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90508025e0>
1770.4977614559664,"(0, 0, 1)","(0, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90911b40a0>
1771.0604315748965,"(0, 0, 2)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9097dc9e50>
1771.093295227857,"(0, 0, 2)","(2, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90838f0af0>
1771.2236699443974,"(0, 0, 2)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083adc970>
1771.3051447511334,"(0, 0, 1)","(0, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90837062e0>
1771.5323889746944,"(0, 0, 2)","(1, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9091199dc0>
1771.5336069270036,"(0, 0, 1)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90913a5f70>
1772.081837186768,"(0, 0, 2)","(0, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083903550>
1772.0980083953377,"(0, 0, 2)","(0, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9050724fa0>
1772.7213180611732,"(0, 0, 1)","(0, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f905093d430>
1773.0369567814603,"(0, 0, 1)","(0, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083aec4c0>
1773.0599243957772,"(0, 0, 2)","(2, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9037fe49a0>
1773.0602185530483,"(0, 0, 2)","(1, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9002b13ee0>
1773.0651704075765,"(0, 0, 2)","(3, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90602f62e0>
1773.4739473278926,"(0, 0, 2)","(2, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083743c40>
1773.4740998852212,"(0, 0, 2)","(1, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90973b1790>
1773.593478811782,"(0, 0, 2)","(0, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f908379acd0>
1773.6118827999267,"(0, 0, 2)","(0, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9050814310>
1774.8231048370424,"(0, 0, 3)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f905074e160>
1775.060152507787,"(0, 0, 2)","(1, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fe981b3a0>
1775.0602687674843,"(0, 0, 2)","(4, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ef1b10b20>
1775.0603770327648,"(0, 0, 2)","(2, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fa437c670>
1775.0857151783846,"(0, 0, 2)","(3, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fd6840640>
1775.344044872441,"(0, 0, 2)","(0, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f905093dd60>
1775.4031101739347,"(0, 0, 3)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90973b1430>
1775.4482093020108,"(0, 0, 3)","(2, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90838f6c70>
1775.4733801045124,"(0, 0, 2)","(2, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9037fe4e50>
1775.4734215598448,"(0, 0, 2)","(1, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9055b206d0>
1775.4734288612767,"(0, 0, 2)","(3, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90911c5d60>
1775.4930568376762,"(0, 0, 2)","(0, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083733970>
1776.0637685091708,"(0, 0, 3)","(0, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f905083c2e0>
1777.0597474266115,"(0, 0, 2)","(1, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff3111ca0>
1777.0601243902404,"(0, 0, 2)","(3, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f38035ca0>
1777.060221886932,"(0, 0, 2)","(2, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fa4d04640>
1777.0649454817155,"(0, 0, 2)","(4, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f07248340>
1777.399226411024,"(0, 0, 3)","(2, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9037fe4c70>
1777.3995247238536,"(0, 0, 3)","(1, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff0d95c70>
1777.4093743059327,"(0, 0, 3)","(3, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90838dd1c0>
1777.4721933127194,"(0, 0, 2)","(1, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90147b07c0>
1777.4722252865604,"(0, 0, 2)","(4, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ed2bb9070>
1777.4739075935074,"(0, 0, 2)","(2, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fa437cb50>
1777.4739373038979,"(0, 0, 2)","(3, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fd6840fd0>
1777.4756593473105,"(0, 0, 2)","(0, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9040790100>
1777.7448289346069,"(0, 0, 3)","(0, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f909120b5e0>
1779.0586880161152,"(0, 0, 2)","(4, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f87a573a0>
1779.0601184396687,"(0, 0, 2)","(2, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fb4bfb1f0>
1779.0604005768796,"(0, 0, 2)","(3, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f5734cbe0>
1779.3976993207057,"(0, 0, 3)","(3, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fd6c35d60>
1779.3994961807252,"(0, 0, 3)","(1, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fe9815fa0>
1779.4000788582478,"(0, 0, 3)","(4, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f2e920eb0>
1779.40101469307,"(0, 0, 3)","(2, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fa437c3a0>
1779.4722106801155,"(0, 0, 2)","(4, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f07248940>
1779.4722342182629,"(0, 0, 2)","(2, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8facf6ec10>
1779.4724155653525,"(0, 0, 2)","(3, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f55fd49a0>
1779.4736921040503,"(0, 0, 2)","(1, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff312ff70>
1779.5795426835086,"(0, 0, 3)","(0, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f905093df10>
1780.0661719529537,"(0, 0, 4)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90837a9790>
1780.0661719529537,"(0, 0, 4)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90911e5c40>
1780.8772186068084,"(0, 0, 4)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90916110a0>
1781.0597540746735,"(0, 0, 2)","(4, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ef1e27370>
1781.0600307576303,"(0, 0, 2)","(3, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f6ecf9220>
1781.180564471934,"(0, 0, 4)","(1, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9050988130>
1781.3389185768983,"(0, 0, 4)","(0, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9091611640>
1781.3989358155873,"(0, 0, 3)","(1, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff312fe20>
1781.3991954322737,"(0, 0, 3)","(3, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f55fd49d0>
1781.3995247297375,"(0, 0, 3)","(2, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8facf6e1c0>
1781.4080669988266,"(0, 0, 3)","(4, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f07248280>
1781.4721930526093,"(0, 0, 2)","(2, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fb4bfb760>
1781.4722586115092,"(0, 0, 2)","(3, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f5734c190>
1781.472290101461,"(0, 0, 2)","(4, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f943afa90>
1782.0469751535938,"(0, 0, 4)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9002f125e0>
1782.1007264978036,"(0, 0, 4)","(2, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90708d0040>
1782.446112659599,"(0, 0, 4)","(0, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9091261ca0>
1783.0598318676055,"(0, 0, 2)","(4, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ec4056790>
1783.1261442853909,"(0, 0, 4)","(1, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9002ef3700>
1783.1271054137887,"(0, 0, 4)","(2, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90911cdf10>
1783.1646453348992,"(0, 0, 4)","(0, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90837a96a0>
1783.397987001786,"(0, 0, 3)","(4, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f943af580>
1783.3993837884482,"(0, 0, 3)","(2, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fb4bdaf70>
1783.4007477290354,"(0, 0, 3)","(3, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f57377100>
1783.4722156311611,"(0, 0, 2)","(3, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f3abadc70>
1783.4722385338227,"(0, 0, 2)","(4, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e902f6700>
1784.0451866525275,"(0, 0, 4)","(2, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fd6c0d580>
1784.0454852904654,"(0, 0, 4)","(1, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f901012e970>
1784.0581467546021,"(0, 0, 4)","(3, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90407d8250>
1784.2512408377909,"(0, 0, 4)","(0, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f905064bd30>
1785.1255138760903,"(0, 0, 4)","(3, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9050821c40>
1785.1255235974288,"(0, 0, 4)","(2, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fac8c8070>
1785.125651182422,"(0, 0, 4)","(1, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9010112220>
1785.1297356899595,"(0, 0, 4)","(0, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90602d7e80>
1785.3988095921763,"(0, 0, 3)","(4, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e902f6e80>
1785.3993710242607,"(0, 0, 3)","(3, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f28b63b20>
1785.4722126465542,"(0, 0, 2)","(4, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e921e2340>
1786.0439488126417,"(0, 0, 4)","(3, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fd6c37640>
1786.0454703908115,"(0, 0, 4)","(1, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff30f2760>
1786.046073604354,"(0, 0, 4)","(2, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fa4d1f310>
1786.0469478609366,"(0, 0, 4)","(4, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f2e959ee0>
1786.1467365050144,"(0, 0, 4)","(0, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083781c40>
1787.1252563823475,"(0, 0, 4)","(1, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9014a27cd0>
1787.1253505187767,"(0, 0, 4)","(4, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f2e926fa0>
1787.1258920838204,"(0, 0, 4)","(0, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f905095ec70>
1787.125941388274,"(0, 0, 4)","(2, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fa4d041f0>
1787.1267487871494,"(0, 0, 4)","(3, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fd68733d0>
1787.3990483168295,"(0, 0, 3)","(4, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e921e2ca0>
1788.0450618382608,"(0, 0, 4)","(1, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9006ee3160>
1788.0453209374423,"(0, 0, 4)","(3, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f67fa6400>
1788.0454751979914,"(0, 0, 4)","(2, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fdd9a2580>
1788.055811593607,"(0, 0, 4)","(4, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8eedd00af0>
1789.1253395356548,"(0, 0, 4)","(4, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f07280e80>
1789.1253942916499,"(0, 0, 4)","(2, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f831ce3a0>
1789.1254026711306,"(0, 0, 4)","(3, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f55fefa60>
1789.1256562966657,"(0, 0, 4)","(1, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9006ec6f10>
1790.0446535933938,"(0, 0, 4)","(4, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f22ad0940>
1790.0453814409543,"(0, 0, 4)","(2, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8faa1e2280>
1790.0460508215572,"(0, 0, 4)","(3, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f96d360a0>
1791.125350121658,"(0, 0, 4)","(3, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f96d36b50>
1791.1253640052028,"(0, 0, 4)","(4, 0, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f22aa9250>
1791.1253969321767,"(0, 0, 4)","(2, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8faa1c6c10>
1792.0450738909608,"(0, 0, 4)","(4, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ec388bb80>
1792.0453824323024,"(0, 0, 4)","(3, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f328156d0>
1793.1253030933153,"(0, 0, 4)","(4, 0, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e90312eb0>
1793.125333586813,"(0, 0, 4)","(3, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f28b7f730>
1794.0451934057924,"(0, 0, 4)","(4, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e9a0b62b0>
1795.125342152199,"(0, 0, 4)","(4, 0, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8eba939910>
376153.2510911006,"(0, 1, 0)","(4, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e9a0d2bb0>
