AIC,Params,Seasonal_Params,Model
1343.4148418361472,"(0, 0, 4)","(4, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e80c675b0>
1343.4185674429464,"(0, 0, 4)","(0, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9020163220>
1343.419304186981,"(0, 0, 4)","(1, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90078dcb20>
1343.4701236097224,"(0, 0, 4)","(2, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8faff28fd0>
1345.414577911085,"(0, 0, 4)","(3, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f147454f0>
1345.416608115137,"(0, 0, 4)","(2, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fdfa573d0>
1345.416875670651,"(0, 0, 4)","(4, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ea3fdb2b0>
1345.4188829336342,"(0, 0, 4)","(1, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fc14dfac0>
1345.614746630305,"(0, 0, 3)","(0, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90973b1820>
1347.414758311443,"(0, 0, 4)","(4, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ec7433700>
1347.4152961054879,"(0, 0, 4)","(3, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f14746a90>
1347.415936429913,"(0, 0, 4)","(2, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8faff92dc0>
1347.5202546004066,"(0, 0, 3)","(0, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9032107d30>
1347.5375820966292,"(0, 0, 3)","(1, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff2538a60>
1349.3823904733338,"(0, 0, 3)","(1, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9036c09220>
1349.4148582294724,"(0, 0, 4)","(3, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ed0856160>
1349.4148719534023,"(0, 0, 4)","(4, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e4122ce20>
1349.4223211083265,"(0, 0, 3)","(0, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9056f9e8b0>
1349.4577058183647,"(0, 0, 3)","(2, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fb4da6fa0>
1351.3278208109814,"(0, 0, 3)","(3, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f42544040>
1351.32914909609,"(0, 0, 3)","(0, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9057129fa0>
1351.3628521428227,"(0, 0, 3)","(2, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f88dd6850>
1351.3664972105717,"(0, 0, 3)","(1, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f901635df40>
1351.4150684434949,"(0, 0, 4)","(4, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e3222f820>
1353.3230820778374,"(0, 0, 3)","(4, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e9a0b6640>
1353.3232406770042,"(0, 0, 3)","(3, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f453b59a0>
1353.3285818923052,"(0, 0, 3)","(0, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9020158e20>
1353.328761098036,"(0, 0, 3)","(1, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fc14cdfa0>
1353.3437712816628,"(0, 0, 3)","(2, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f8b385df0>
1355.3229213088987,"(0, 0, 3)","(3, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f4430c310>
1355.32353419445,"(0, 0, 3)","(2, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8faff8b040>
1355.3272401039987,"(0, 0, 3)","(4, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e9a0d2970>
1355.3287486076388,"(0, 0, 3)","(1, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fc14ecb50>
1355.740512432165,"(0, 0, 2)","(0, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9030f2ddc0>
1357.3230393846422,"(0, 0, 3)","(4, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ec7421130>
1357.3233138143225,"(0, 0, 3)","(3, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f1743d2e0>
1357.324386128842,"(0, 0, 3)","(2, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8faff6d700>
1357.700173539909,"(0, 0, 2)","(0, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9032107d00>
1357.717697843949,"(0, 0, 2)","(1, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff2430e50>
1359.220684041716,"(0, 0, 2)","(2, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f84231d90>
1359.260604626418,"(0, 0, 2)","(0, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9056f9ec10>
1359.323122485747,"(0, 0, 3)","(4, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e4122c1f0>
1359.3231249890907,"(0, 0, 3)","(3, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ed0847ac0>
1359.4945306219429,"(0, 0, 2)","(1, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f901635d730>
1361.0051650785263,"(0, 0, 2)","(3, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f453937c0>
1361.0328320120136,"(0, 0, 2)","(0, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90971df760>
1361.036107006127,"(0, 0, 2)","(2, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f88df7850>
1361.1086691025796,"(0, 0, 2)","(1, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90078b5430>
1361.3232606195709,"(0, 0, 3)","(4, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e39955490>
1363.0009078066587,"(0, 0, 2)","(3, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f3450a610>
1363.001014537413,"(0, 0, 2)","(4, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e80c5b9d0>
1363.0075308698144,"(0, 0, 2)","(2, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f8b385fd0>
1363.0322783342185,"(0, 0, 2)","(0, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9020160d00>
1363.032494577814,"(0, 0, 2)","(1, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fc14cd850>
1365.00078349663,"(0, 0, 2)","(3, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f14746ee0>
1365.0013449973073,"(0, 0, 2)","(2, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8faff6dd30>
