AIC,Params,Seasonal_Params,Model,Ljung-Box p-value,Jarque-Bera p-value
1507.8126386443091,"(3, 2, 3)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf8689c9a0>,0.7520219255111689,0.22973119511213552
1507.8564629567688,"(5, 2, 3)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf46ed81c0>,0.6611999980225582,0.09330697795623008
1507.957099123105,"(5, 2, 3)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf19bcb3d0>,0.9376671167851653,0.4013234230225908
1507.9829545896573,"(7, 2, 3)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf12ae14f0>,0.6793955430709668,0.019261050074964713
1508.2176076723745,"(3, 2, 3)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf458d4220>,0.9449931024344214,0.14341571593275604
1508.429997917581,"(5, 2, 3)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf118f61f0>,0.7267532648811259,0.10297281270257394
1508.5732369757836,"(0, 2, 1)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf62b47f70>,0.7192082986562861,0.09195115518335194
1508.6845524962173,"(3, 2, 2)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf316f4a30>,0.8850396159759768,0.0005532552160478778
1509.9424701222274,"(0, 2, 2)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf8288dc70>,0.9862195145760566,0.12091272348212466
1509.9438527121374,"(5, 2, 1)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf19722190>,0.23489786754355968,0.007725659460621515
1510.0123486760492,"(7, 2, 3)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf36c37a90>,0.6858267952147264,0.017191525862290655
1510.2300537443848,"(5, 2, 0)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf3454b8b0>,0.6329013626418784,0.11211373258538784
1511.8408323313558,"(1, 2, 2)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf74ddba30>,0.7230648221740579,0.16110348222891985
1512.0101004354065,"(5, 2, 0)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf3456cd00>,0.558560733871441,0.11696371170848366
1512.4524332531128,"(3, 2, 2)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf315b8e50>,0.8149675490745958,0.05241523897430279
1514.900683491834,"(5, 1, 0)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf20643970>,0.5514792376148426,1.213453359057926e-05
1515.527045146558,"(1, 2, 3)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf9763bc10>,0.9544464897865216,0.1819270780551417
1515.5721716062799,"(5, 2, 0)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf0014f8b0>,0.3177873580988382,0.23549298949781367
1515.72822596624,"(0, 2, 3)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf9493e2e0>,0.9521397107551374,0.5927999486373827
1516.1863215877436,"(1, 2, 3)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf9721b310>,0.7269670458440343,0.3261020497378628
1516.2402038182886,"(1, 1, 0)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf63e4b880>,0.7986623868758137,0.0011603798243162934
1516.4007392233866,"(5, 1, 1)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf461a10d0>,0.8096087800320344,2.6324622509953444e-05
1516.7265854010927,"(7, 1, 0)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf22c16130>,0.512841500485848,6.767271753385887e-07
